t,SUM_LOAD
8/10/2024 20:00,113184.1
8/10/2024 21:00,114584.4
8/10/2024 22:00,113400.5
8/10/2024 23:00,109267.1
8/11/2024 0:00,105116.3
8/11/2024 1:00,100893.5
8/11/2024 2:00,95222.7
8/11/2024 3:00,89053.1
8/11/2024 4:00,83174.3
8/11/2024 5:00,78724.4
8/11/2024 6:00,75467.7
8/11/2024 7:00,73497.2
8/11/2024 8:00,72100.5
8/11/2024 9:00,71771.2
8/11/2024 10:00,71751.7
8/11/2024 11:00,72909.7
8/11/2024 12:00,76671.8
8/11/2024 13:00,81075.6
8/11/2024 14:00,85419.2
8/11/2024 15:00,89315.6
8/11/2024 16:00,92805.4
8/11/2024 17:00,95174.9
8/11/2024 18:00,98176.7
8/11/2024 19:00,101872.1
8/11/2024 20:00,105748.1
8/11/2024 21:00,108363.8
8/11/2024 22:00,108248.1
8/11/2024 23:00,105425.3
8/12/2024 0:00,101977.2
8/12/2024 1:00,98266
8/12/2024 2:00,92108
8/12/2024 3:00,85731.2
8/12/2024 4:00,80187.9
8/12/2024 5:00,76541.7
8/12/2024 6:00,74184.3
8/12/2024 7:00,72994.3
8/12/2024 8:00,73427.2
8/12/2024 9:00,76034.7
8/12/2024 10:00,80091
8/12/2024 11:00,84098.7
8/12/2024 12:00,88381
8/12/2024 13:00,92322.6
8/12/2024 14:00,96348.7
8/12/2024 15:00,100202.8
8/12/2024 16:00,104142.5
8/12/2024 17:00,108269.3
8/12/2024 18:00,111630.1
8/12/2024 19:00,113948.6
8/12/2024 20:00,115737.2
8/12/2024 21:00,117245.6
8/12/2024 22:00,117077.5
8/12/2024 23:00,113320.8
8/13/2024 0:00,108810.4
8/13/2024 1:00,104186.7
8/13/2024 2:00,96724.3
8/13/2024 3:00,89533.7
8/13/2024 4:00,83604.3
8/13/2024 5:00,79415.3
8/13/2024 6:00,76554.7
8/13/2024 7:00,74953.7
8/13/2024 8:00,74934.1
8/13/2024 9:00,77390.1
8/13/2024 10:00,81468.9
8/13/2024 11:00,85581.9
8/13/2024 12:00,89261
8/13/2024 13:00,93236.8
8/13/2024 14:00,97326.1
8/13/2024 15:00,101922.9
8/13/2024 16:00,106833
8/13/2024 17:00,111207.9
8/13/2024 18:00,114865
8/13/2024 19:00,117560.6
8/13/2024 20:00,120119.1
8/13/2024 21:00,121724.2
8/13/2024 22:00,120814.9
8/13/2024 23:00,116857.3
8/14/2024 0:00,112746
8/14/2024 1:00,107751.1
8/14/2024 2:00,99984.8
8/14/2024 3:00,92458.1
8/14/2024 4:00,86206.5
8/14/2024 5:00,81670.6
8/14/2024 6:00,78540.9
8/14/2024 7:00,76566.9
8/14/2024 8:00,76489.3
8/14/2024 9:00,78642.9
8/14/2024 10:00,82726
8/14/2024 11:00,86627.9
8/14/2024 12:00,90470.2
8/14/2024 13:00,95035.9
8/14/2024 14:00,99851.5
8/14/2024 15:00,105390.3
8/14/2024 16:00,110679.1
8/14/2024 17:00,116133.4
8/14/2024 18:00,120048.9
8/14/2024 19:00,123405.3
8/14/2024 20:00,126220.3
8/14/2024 21:00,127356
8/14/2024 22:00,125653.8
8/14/2024 23:00,121281.4
8/15/2024 0:00,116477.1
8/15/2024 1:00,110775.7
8/15/2024 2:00,102752.8
8/15/2024 3:00,94629.9
8/15/2024 4:00,88160.4
8/15/2024 5:00,83390.8
8/15/2024 6:00,80134.4
8/15/2024 7:00,78012.9
8/15/2024 8:00,77837.9
8/15/2024 9:00,80238.6
8/15/2024 10:00,84492.1
8/15/2024 11:00,88541.9
8/15/2024 12:00,92254.8
8/15/2024 13:00,96213.8
8/15/2024 14:00,101187.7
8/15/2024 15:00,106167.5
8/15/2024 16:00,110972.6
8/15/2024 17:00,115717.7
8/15/2024 18:00,119301.4
8/15/2024 19:00,121948
8/15/2024 20:00,123936.2
8/15/2024 21:00,124489.5
8/15/2024 22:00,122387.8
8/15/2024 23:00,118255.1
8/16/2024 0:00,114812.1
8/16/2024 1:00,109837.3
8/16/2024 2:00,102501.8
8/16/2024 3:00,95527.7
8/16/2024 4:00,89478.2
8/16/2024 5:00,84942
8/16/2024 6:00,81767
8/16/2024 7:00,79736.6
8/16/2024 8:00,79454.7
8/16/2024 9:00,81665.7
8/16/2024 10:00,85896.7
8/16/2024 11:00,89824.1
8/16/2024 12:00,93951.2
8/16/2024 13:00,98524.5
8/16/2024 14:00,103710.7
8/16/2024 15:00,108840.1
8/16/2024 16:00,114239
8/16/2024 17:00,119265.8
8/16/2024 18:00,123460.8
8/16/2024 19:00,126592.8
8/16/2024 20:00,128609.7
8/16/2024 21:00,128900.2
8/16/2024 22:00,126190.4
8/16/2024 23:00,121700.5
8/17/2024 0:00,117578.1
8/17/2024 1:00,112503.7
8/17/2024 2:00,105974
8/17/2024 3:00,99229.2
8/17/2024 4:00,93214.4
8/17/2024 5:00,88320.8
8/17/2024 6:00,84849
8/17/2024 7:00,82493.5
8/17/2024 8:00,81220.1
8/17/2024 9:00,81114.7
8/17/2024 10:00,82246.6
8/17/2024 11:00,84227.7
8/17/2024 12:00,88710.3
8/17/2024 13:00,93805.6
8/17/2024 14:00,99088.4
8/17/2024 15:00,104355.2
8/17/2024 16:00,108751.1
8/17/2024 17:00,111637.6
8/17/2024 18:00,113904.5
8/17/2024 19:00,115223.1
8/17/2024 20:00,115384
8/17/2024 21:00,114588.3
8/17/2024 22:00,112140.5
8/17/2024 23:00,108867.3
8/18/2024 0:00,106011.7
8/18/2024 1:00,102455.6
8/18/2024 2:00,97257
8/18/2024 3:00,91895.3
8/18/2024 4:00,86900.4
8/18/2024 5:00,82741.9
8/18/2024 6:00,79711.6
8/18/2024 7:00,77893.5
8/18/2024 8:00,76820.3
8/18/2024 9:00,76990.2
8/18/2024 10:00,77848.2
8/18/2024 11:00,79333.6
8/18/2024 12:00,83668
8/18/2024 13:00,88514.6
8/18/2024 14:00,92872.4
8/18/2024 15:00,97525.8
8/18/2024 16:00,102205.1
8/18/2024 17:00,106454.3
8/18/2024 18:00,110295.5
8/18/2024 19:00,113378.5
8/18/2024 20:00,116347.3
8/18/2024 21:00,117641.5
8/18/2024 22:00,115863.2
8/18/2024 23:00,112318.4
8/19/2024 0:00,109087.9
8/19/2024 1:00,104626.6
8/19/2024 2:00,98474.6
8/19/2024 3:00,92197.1
8/19/2024 4:00,86548.9
8/19/2024 5:00,82532.7
8/19/2024 6:00,79778.9
8/19/2024 7:00,78376.2
8/19/2024 8:00,78993.4
8/19/2024 9:00,81811.4
8/19/2024 10:00,86798.7
8/19/2024 11:00,90928.9
8/19/2024 12:00,94916.9
8/19/2024 13:00,98291.8
8/19/2024 14:00,102572.3
8/19/2024 15:00,105925.1
8/19/2024 16:00,109152.8
8/19/2024 17:00,112329.5
8/19/2024 18:00,114617
8/19/2024 19:00,115841.2
8/19/2024 20:00,116042.1
8/19/2024 21:00,115180.1
8/19/2024 22:00,112522
8/19/2024 23:00,108551.7
8/20/2024 0:00,105754.3
8/20/2024 1:00,101279
8/20/2024 2:00,94468
8/20/2024 3:00,87676.8
8/20/2024 4:00,82280.2
8/20/2024 5:00,78051.2
8/20/2024 6:00,75461.6
8/20/2024 7:00,73638.8
8/20/2024 8:00,73722.9
8/20/2024 9:00,76189.8
8/20/2024 10:00,80316
8/20/2024 11:00,83296.9
8/20/2024 12:00,85389.3
8/20/2024 13:00,86679.8
8/20/2024 14:00,88242.9
8/20/2024 15:00,89494.4
8/20/2024 16:00,91228.1
8/20/2024 17:00,92783.6
8/20/2024 18:00,93935.1
8/20/2024 19:00,94764.3
8/20/2024 20:00,96406.1
8/20/2024 21:00,97252.7
8/20/2024 22:00,96495.8
8/20/2024 23:00,94296.8
8/21/2024 0:00,93174.7
8/21/2024 1:00,90068.3
8/21/2024 2:00,84392.4
8/21/2024 3:00,78608.7
8/21/2024 4:00,74254
8/21/2024 5:00,71293.1
8/21/2024 6:00,69467.2
8/21/2024 7:00,68377.1
8/21/2024 8:00,68835
8/21/2024 9:00,71460.6
8/21/2024 10:00,76041
8/21/2024 11:00,79212.7
8/21/2024 12:00,81054.9
8/21/2024 13:00,82350.3
8/21/2024 14:00,83980
8/21/2024 15:00,85484.4
8/21/2024 16:00,87162.6
8/21/2024 17:00,89049.9
8/21/2024 18:00,90489.6
8/21/2024 19:00,92208.2
8/21/2024 20:00,94556.7
8/21/2024 21:00,96602.4
8/21/2024 22:00,96696.8
8/21/2024 23:00,94881.5
8/22/2024 0:00,93749.9
8/22/2024 1:00,90418
8/22/2024 2:00,84487.8
8/22/2024 3:00,78908.6
8/22/2024 4:00,74390.8
8/22/2024 5:00,71445.7
8/22/2024 6:00,69295.7
8/22/2024 7:00,68454.7
8/22/2024 8:00,69028.4
8/22/2024 9:00,71755.3
8/22/2024 10:00,76515.1
8/22/2024 11:00,79754.1
8/22/2024 12:00,82025.9
8/22/2024 13:00,83687.6
8/22/2024 14:00,85605.6
8/22/2024 15:00,87324.6
8/22/2024 16:00,89710.4
8/22/2024 17:00,92781.2
8/22/2024 18:00,95155.6
8/22/2024 19:00,97558.3
8/22/2024 20:00,100317.3
8/22/2024 21:00,102524.9
8/22/2024 22:00,102590
8/22/2024 23:00,99968.7
8/23/2024 0:00,97863.9
8/23/2024 1:00,93783.9
8/23/2024 2:00,87316.8
8/23/2024 3:00,81208.3
8/23/2024 4:00,76299.8
8/23/2024 5:00,72927.1
8/23/2024 6:00,70662.1
8/23/2024 7:00,69494.4
8/23/2024 8:00,69733.9
8/23/2024 9:00,72336
8/23/2024 10:00,76645.8
8/23/2024 11:00,79859.7
8/23/2024 12:00,82880.5
8/23/2024 13:00,85379
8/23/2024 14:00,88064.7
8/23/2024 15:00,90870.2
8/23/2024 16:00,93931.2
8/23/2024 17:00,97582.7
8/23/2024 18:00,101494.1
8/23/2024 19:00,105292.1
8/23/2024 20:00,109115
8/23/2024 21:00,111497.3
8/23/2024 22:00,109968.3
8/23/2024 23:00,105322
8/24/2024 0:00,101515.4
8/24/2024 1:00,96706.1
8/24/2024 2:00,90628.8
8/24/2024 3:00,84241.4
8/24/2024 4:00,78782
8/24/2024 5:00,74665.8
8/24/2024 6:00,71691.3
8/24/2024 7:00,70013.6
8/24/2024 8:00,69117.6
8/24/2024 9:00,69733.9
8/24/2024 10:00,70602.4
8/24/2024 11:00,72370.2
8/24/2024 12:00,76010.3
8/24/2024 13:00,80336
8/24/2024 14:00,84988.9
8/24/2024 15:00,89836.5
8/24/2024 16:00,95460.1
8/24/2024 17:00,100896.8
8/24/2024 18:00,105663.5
8/24/2024 19:00,110275.6
8/24/2024 20:00,114271.9
8/24/2024 21:00,116291.5
8/24/2024 22:00,115192
8/24/2024 23:00,110813.9
8/25/2024 0:00,106733.9
8/25/2024 1:00,102047.3
8/25/2024 2:00,95862.7
8/25/2024 3:00,89461.1
8/25/2024 4:00,83782.3
8/25/2024 5:00,79204.8
8/25/2024 6:00,75884.9
8/25/2024 7:00,73809.4
8/25/2024 8:00,72326.5
8/25/2024 9:00,72044.5
8/25/2024 10:00,72540
8/25/2024 11:00,73587.1
8/25/2024 12:00,78032.9
8/25/2024 13:00,83795.5
8/25/2024 14:00,90401.5
8/25/2024 15:00,97497.3
8/25/2024 16:00,104614.4
8/25/2024 17:00,110801.4
8/25/2024 18:00,115918.1
8/25/2024 19:00,120612.9
8/25/2024 20:00,124730.8
8/25/2024 21:00,127067.6
8/25/2024 22:00,126335.5
8/25/2024 23:00,122683.2
8/26/2024 0:00,118975.4
8/26/2024 1:00,112838.1
8/26/2024 2:00,104925.4
8/26/2024 3:00,97166.5
8/26/2024 4:00,90701.2
8/26/2024 5:00,85974.2
8/26/2024 6:00,82886.6
8/26/2024 7:00,81069.3
8/26/2024 8:00,81242.4
8/26/2024 9:00,84056.7
8/26/2024 10:00,89552.4
8/26/2024 11:00,93505.8
8/26/2024 12:00,97799.1
8/26/2024 13:00,103031.1
8/26/2024 14:00,109611.9
8/26/2024 15:00,117272.8
8/26/2024 16:00,124494
8/26/2024 17:00,131182.1
8/26/2024 18:00,134288.3
8/26/2024 19:00,137747.7
8/26/2024 20:00,140236.9
8/26/2024 21:00,141094.4
8/26/2024 22:00,139324.8
8/26/2024 23:00,135244
8/27/2024 0:00,130579.6
8/27/2024 1:00,123601.4
8/27/2024 2:00,114374.8
8/27/2024 3:00,105596.5
8/27/2024 4:00,98313
8/27/2024 5:00,92969.2
8/27/2024 6:00,89207.1
8/27/2024 7:00,86586.7
8/27/2024 8:00,86091
8/27/2024 9:00,88434
8/27/2024 10:00,93383.2
8/27/2024 11:00,97458.8
8/27/2024 12:00,101867.5
8/27/2024 13:00,107307.3
8/27/2024 14:00,114350.2
8/27/2024 15:00,121682.6
8/27/2024 16:00,129269.4
8/27/2024 17:00,135666.4
8/27/2024 18:00,140081.9
8/27/2024 19:00,143077.6
8/27/2024 20:00,145565.1
8/27/2024 21:00,146530.1
8/27/2024 22:00,145040.1
8/27/2024 23:00,140196.5
8/28/2024 0:00,134512.7
8/28/2024 1:00,126507.7
8/28/2024 2:00,117053.5
8/28/2024 3:00,108164.6
8/28/2024 4:00,100979.3
8/28/2024 5:00,95777.9
8/28/2024 6:00,91809.1
8/28/2024 7:00,89315.7
8/28/2024 8:00,88788.5
8/28/2024 9:00,91273.9
8/28/2024 10:00,96826.7
8/28/2024 11:00,100707.3
8/28/2024 12:00,105067.1
8/28/2024 13:00,110882.6
8/28/2024 14:00,117946
8/28/2024 15:00,125270.6
8/28/2024 16:00,132482.8
8/28/2024 17:00,138628.2
8/28/2024 18:00,143183.1
8/28/2024 19:00,146115.2
8/28/2024 20:00,147985.3
8/28/2024 21:00,148297.9
8/28/2024 22:00,146722.3
8/28/2024 23:00,142806.1
8/29/2024 0:00,138126.4
8/29/2024 1:00,130550.9
8/29/2024 2:00,120759.2
8/29/2024 3:00,111556.7
8/29/2024 4:00,104332.4
8/29/2024 5:00,98768.3
8/29/2024 6:00,94846.8
8/29/2024 7:00,92219.5
8/29/2024 8:00,91510.7
8/29/2024 9:00,94119.9
8/29/2024 10:00,99164.2
8/29/2024 11:00,103018.6
8/29/2024 12:00,106903.7
8/29/2024 13:00,111184.6
8/29/2024 14:00,116523.5
8/29/2024 15:00,122130
8/29/2024 16:00,127741.5
8/29/2024 17:00,133294.5
8/29/2024 18:00,136929.9
8/29/2024 19:00,139250.7
8/29/2024 20:00,139669.1
8/29/2024 21:00,137792.8
8/29/2024 22:00,134324.6
8/29/2024 23:00,129634.3
8/30/2024 0:00,125463.6
8/30/2024 1:00,118924.2
8/30/2024 2:00,110901.6
8/30/2024 3:00,102941.6
8/30/2024 4:00,96384.4
8/30/2024 5:00,91461.7
8/30/2024 6:00,88070
8/30/2024 7:00,85691.7
8/30/2024 8:00,85321.8
8/30/2024 9:00,87265.6
8/30/2024 10:00,91603.6
8/30/2024 11:00,95227.4
8/30/2024 12:00,98874.1
8/30/2024 13:00,102919.2
8/30/2024 14:00,107677.3
8/30/2024 15:00,112490.7
8/30/2024 16:00,117315.3
8/30/2024 17:00,120930.5
8/30/2024 18:00,122693.3
8/30/2024 19:00,122572.3
8/30/2024 20:00,122040.3
8/30/2024 21:00,121643.9
8/30/2024 22:00,118862.3
8/30/2024 23:00,115597.8
8/31/2024 0:00,112855
8/31/2024 1:00,108632.9
8/31/2024 2:00,102711.1
8/31/2024 3:00,96614.9
8/31/2024 4:00,90692.1
8/31/2024 5:00,86148.5
8/31/2024 6:00,82740.3
8/31/2024 7:00,80522.4
8/31/2024 8:00,79153.7
8/31/2024 9:00,79177.7
8/31/2024 10:00,80045.5
8/31/2024 11:00,81659.3
8/31/2024 12:00,85930
8/31/2024 13:00,91011.9
8/31/2024 14:00,96045.6
8/31/2024 15:00,100625.5
8/31/2024 16:00,104679
8/31/2024 17:00,108027
8/31/2024 18:00,110406
8/31/2024 19:00,112298.5
8/31/2024 20:00,113784.2
8/31/2024 21:00,114047.7
8/31/2024 22:00,112040.9
8/31/2024 23:00,109170.6
9/1/2024 0:00,106073
9/1/2024 1:00,101732.7
9/1/2024 2:00,96419.2
9/1/2024 3:00,90750.6
9/1/2024 4:00,85975.9
9/1/2024 5:00,81983.5
9/1/2024 6:00,79137.8
9/1/2024 7:00,77182
9/1/2024 8:00,76155.8
9/1/2024 9:00,76070.9
9/1/2024 10:00,76744.3
9/1/2024 11:00,78169.8
9/1/2024 12:00,82337.1
9/1/2024 13:00,87665.8
9/1/2024 14:00,93012.8
9/1/2024 15:00,97664.3
9/1/2024 16:00,101696.7
9/1/2024 17:00,105144.2
9/1/2024 18:00,108149.6
9/1/2024 19:00,111402.5
9/1/2024 20:00,113947
9/1/2024 21:00,114818.1
9/1/2024 22:00,112883.6
9/1/2024 23:00,108691
9/2/2024 0:00,105095.2
9/2/2024 1:00,100515.8
9/2/2024 2:00,94887.6
9/2/2024 3:00,89084.6
9/2/2024 4:00,83956.1
9/2/2024 5:00,79536.2
9/2/2024 6:00,76200.5
9/2/2024 7:00,73959.4
9/2/2024 8:00,72966.9
9/2/2024 9:00,72738.1
9/2/2024 10:00,73240.4
9/2/2024 11:00,73619.2
9/2/2024 12:00,76235.6
9/2/2024 13:00,79672.7
9/2/2024 14:00,82756.9
9/2/2024 15:00,85712.3
9/2/2024 16:00,88436.1
9/2/2024 17:00,90713
9/2/2024 18:00,93001.6
9/2/2024 19:00,95497.9
9/2/2024 20:00,98247.4
9/2/2024 21:00,100137.9
9/2/2024 22:00,99141.2
9/2/2024 23:00,95843.7
9/3/2024 0:00,93425.1
9/3/2024 1:00,88657.1
9/3/2024 2:00,82452.4
9/3/2024 3:00,76511.2
9/3/2024 4:00,72065
9/3/2024 5:00,69006.8
9/3/2024 6:00,67060.9
9/3/2024 7:00,66235.2
9/3/2024 8:00,67124.5
9/3/2024 9:00,70298.8
9/3/2024 10:00,76124.5
9/3/2024 11:00,79692.2
9/3/2024 12:00,81646.1
9/3/2024 13:00,83026.6
9/3/2024 14:00,84553.6
9/3/2024 15:00,86022.2
9/3/2024 16:00,87794.9
9/3/2024 17:00,90125.7
9/3/2024 18:00,92202.3
9/3/2024 19:00,94774.4
9/3/2024 20:00,97805.7
9/3/2024 21:00,99940.7
9/3/2024 22:00,99730.9
9/3/2024 23:00,97562.7
9/4/2024 0:00,95654.9
9/4/2024 1:00,90861.9
9/4/2024 2:00,84471.3
9/4/2024 3:00,78800.7
9/4/2024 4:00,74325.8
9/4/2024 5:00,71338.7
9/4/2024 6:00,69454.2
9/4/2024 7:00,68460.7
9/4/2024 8:00,68854.4
9/4/2024 9:00,71911.6
